param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.05,100.0,100.0,0.04,99.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.04,99.87,100.0,0.04,99.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.04,99.87,100.0,0.04,99.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.04,100.0,100.0,0.04,99.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.03,100.0,100.0,0.05,99.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.03,99.74,100.0,0.05,99.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.02,100.0,100.0,0.06,99.0,99.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.03,100.0,100.0,0.07,99.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.0,100.0,100.0,0.02,98.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.0,100.0,100.0,0.02,99.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.01,99.74,100.0,0.02,99.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.0,100.0,100.0,0.01,100.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,0.02,99.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.0,100.0,100.0,0.02,99.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.0,100.0,100.0,0.01,99.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.0,100.0,100.0,0.02,99.0,100.0
